nr.	time	ET*	hp	IAS	a	FFl	FFr	F. used	TAT
	[hh:mm:ss]	[sec]	[ft]	[kts]	[deg]	[lbs/hr]	[lbs/hr]	[lbs]	[°C]
									
1	00:17:41	1061	7000	247	7.8	715	750	355	1.4
2	00:19:48	1188	7000	217	5.8	583	622	390	2.2
3	00:21:22	1282	6990	190	4	505	535	425	3.2
4	00:22:54	1374	6990	162	2.5	445	492	441	4.8
5	00:24:55	1495	6990	129	0.8	388	425	465	8.1
6	00:27:20	1640	7040	117	0.2	390	435	499	9.9
