nr.	time	ET*	hp	IAS	a	de	detr	Fe	FFl	FFr	F. used	TAT
	[hh:mm:ss]	[sec]	[ft]	[kts]	[deg]	[deg]	[deg]	[N]	[lbs/hr]	[lbs/hr]	[lbs]	[°C]
												
1	00:34:58	2098	8950	161	4.6	-1.2	2.2	0	380	429	626	-0.2
2	00:36:30	2190	8520	171	4	-0.6	2.2	24	387	434	649	0.8
3	00:37:28	2248	7950	182	3.3	-0.3	2.2	52	396	444	664	2
4	00:39:30	2370	6920	190	3	0	2.2	80	410	461	692	2.8
5	00:40:42	2442	7400	151	5.4	-1.7	2.2	-17	397	446	711	0.8
6	00:41:52	2512	7670	139	6.4	-2.5	2.2	-40	391	442	726	0
7	00:43:08	2588	7980	129	7.8	-3.2	2.2	-46	386	434	744	-0.5
